rank	v1	v2	entrez	symbol
528	y	y	11186	RASSF1
529	y	y	55900	ZNF302
530	y	y	1776	DNASE1L3
531	y	y	1975	EIF4B
532	y	y	116447	TOP1MT
533	y	y	10591	C6orf108
534	y	y	64062	RBM26
535	y	y	353189	SLCO4C1
536	y	y	6431	SRSF6
537	y	y	5269	SERPINB6
538	y	y	953	ENTPD1
539	y	y	639	PRDM1
540	y	y	1824	DSC2
541	y	y	22887	FOXJ3
542	y	y	55506	H2AFY2
543	y	y	1870	E2F2
544	y	y	7486	WRN
545	y	y	54517	PUS7
546	y	y	90488	C12orf23
547	y	y	10418	SPON1
548	y	y	5934	RBL2
549	y	y	79180	EFHD2
550	y	y	55846	ITFG2
551	y	y	9710	KIAA0355
552	y	y	55701	ARHGEF40
553	y	y	29997	GLTSCR2
554	y	y	9540	TP53I3
555	y	y	25923	ATL3
556	y	y	400916	CHCHD10
557	y	y	5911	RAP2A
558	y	y	57819	LSM2
559	y	y	9166	EBAG9
560	y	y	1521	CTSW
561	y	y	283	ANG
562	y	y	8644	AKR1C3
563	y	y	11000	SLC27A3
564	y	y	23318	ZCCHC11
565	y	y	132	ADK
566	y	y	80746	TSEN2
567	y	y	2882	GPX7
568	y	y	10575	CCT4
569	y	y	84273	NOA1
570	y	y	6310	ATXN1
571	y	y	51602	NOP58
572	y	y	23304	UBR2
573	y	y	6720	SREBF1
574	y	y	1974	EIF4A2
575	y	y	83939	EIF2A
576	y	y	23022	PALLD
577	y	y	4242	MFNG
578	y	y	10577	NPC2
579	y	y	7124	TNF
580	y	y	146857	SLFN13
581	y	y	4967	OGDH
582	y	y	80008	TMEM156
583	y	y	321	APBA2
584	y	y	8676	STX11
585	y	y	26056	RAB11FIP5
586	y	y	1514	CTSL1
587	y	y	26135	SERBP1
588	y	y	7597	ZBTB25
589	y	y	84441	MAML2
590	y	y	191	AHCY
591	y	y	4259	MGST3
592	y	y	28984	RGCC
593	y	y	199675	C19orf59
594	y	y	51018	RRP15
595	y	y	88455	ANKRD13A
596	y	y	388524	RPSAP58
597	y	y	2581	GALC
598	y	y	23279	NUP160
599	y	y	10099	TSPAN3
600	y	y	3340	NDST1
601	y	y	1786	DNMT1
602	y	y	114884	OSBPL10
603	y	y	83857	TMTC1
604	y	y	23580	CDC42EP4
605	y	y	64755	C16orf58
606	y	y	6594	SMARCA1
607	y	y	51338	MS4A4A
608	y	y	151258	SLC38A11
609	y	y	79668	PARP8
610	y	y	6187	RPS2
611	y	y	23028	KDM1A
612	y	y	55803	ADAP2
613	y	y	10906	TRAFD1
614	y	y	4864	NPC1
615	y	y	283345	RPL13P5
616	y	y	9242	MSC
617	y	y	3101	HK3
618	y	y	83716	CRISPLD2
619	y	y	6472	SHMT2
620	y	y	5176	SERPINF1
621	y	y	10859	LILRB1
622	y	y	9987	HNRPDL
623	y	y	64318	NOC3L
624	y	y	79726	WDR59
625	y	y	219738	C10orf35
626	y	y	25976	TIPARP
627	y	y	152189	CMTM8
628	y	y	55035	NOL8
629	y	y	158038	LINGO2
630	y	y	29090	TIMM21
631	y	y	285636	C5orf51
632	y	y	220002	CYBASC3
633	y	y	51114	ZDHHC9
634	y	y	6929	TCF3
635	y	y	9792	SERTAD2
636	y	y	915	CD3D
637	y	y	168537	GIMAP7
638	y	y	9221	NOLC1
639	y	y	79680	C22orf29
640	y	y	8666	EIF3G
641	y	y	23107	MRPS27
642	y	y	2633	GBP1
643	y	y	27292	DIMT1
644	y	y	219743	TYSND1
645	y	y	6441	SFTPD
646	y	y	26207	PITPNC1
647	y	y	27242	TNFRSF21
648	y	y	94039	ZNF101
649	y	y	64682	ANAPC1
650	y	y	147657	ZNF480
651	y	y	3458	IFNG
652	y	y	55299	BRIX1
653	y	y	23224	SYNE2
654	y	y	55603	FAM46A
655	y	y	10171	RCL1
656	y	y	122060	SLAIN1
657	y	y	5876	RABGGTB
658	y	y	55711	FAR2
659	y	y	59	ACTA2
660	y	y	51754	TMEM8B
661	y	y	93594	WDR67
662	y	y	5578	PRKCA
663	y	y	23344	ESYT1
664	y	y	79673	ZNF329
665	y	y	6604	SMARCD3
666	y	y	222161	DKFZP586I1420
667	y	y	3162	HMOX1
668	y	y	26009	ZZZ3
669	y	y	9823	ARMCX2
670	y	y	22990	PCNX
671	y	y	51504	TRMT112
672	y	y	8886	DDX18
673	y	y	3084	NRG1
674	y	y	91746	YTHDC1
675	y	y	10807	SDCCAG3
676	y	y	1534	CYB561
677	y	y	3959	LGALS3BP
678	y	y	738	VPS51
679	y	y	80129	CCDC170
680	y	y	9056	SLC7A7
681	y	y	257101	ZNF683
682	y	y	7130	TNFAIP6
683	y	y	23312	DMXL2
684	y	y	942	CD86
685	y	y	10533	ATG7
686	y	y	23303	KIF13B
687	y	y	7431	VIM
688	y	y	826	CAPNS1
